model,family,target,n_test,MAE,RMSE,MAPE,R2,QLIKE
SETAR(1) RV_22d,SETAR,rv_22d,522,0.12608873762890896,0.21873050165275043,3.4422625654266703,0.9579703697506655,
"NNAR(5,12) RV_22d",NNAR,rv_22d,522,0.1700716563396243,0.25349383895178584,4.6964788005796665,0.9435489936710464,
SES RV_22d,ETS,rv_22d,522,4.057484972834975,4.195414289505911,120.66577488823145,-14.462744416939412,
State Space local level RV_22d,State Space,rv_22d,522,4.057484976052768,4.195414292617916,120.66577497818014,-14.462744439878806,
Naive RV forecast,Benchmark,rv_22d,522,4.057484976060792,4.195414292625675,120.66577497840443,-14.462744439936001,
Holt RV_22d,ETS,rv_22d,522,6.606178392072944,6.9377811049716165,195.90910511821346,-41.28419410931335,
