model,family,target,n_test,MAE,RMSE,MAPE,R2,QLIKE
State Space local linear trend price,State Space,adj_close,522,471.0881565209381,617.5287079388993,8.905993455468924,0.12943746757897623,
Holt additive trend price,ETS,adj_close,522,523.6968566558878,687.9528138928364,9.880782620499112,-0.08044576238738732,
ETS additive trend price,ETS,adj_close,522,523.6968566558878,687.9528138928364,9.880782620499112,-0.08044576238738732,
Random Walk price,Benchmark,adj_close,522,773.0671985377754,991.4078863557772,14.628092195597835,-1.2438323562791402,
