model,family,target,n_test,MAE,RMSE,MAPE,R2,QLIKE
"EGARCH(1,1)-t",GARCH,r_t_sq,522,1.584590051984066,1.802665145427146,,-1.6955336644743255,1.0335538326125426
"GJR-GARCH(1,1)-t",GARCH,r_t_sq,522,1.647169500483561,1.794220884183593,,-1.6703393251365664,1.0695189538141754
ARCH(1),GARCH,r_t_sq,522,1.7622008088862147,1.9099814928546537,,-2.0260280875810848,1.1120680403911876
"GARCH(1,1)",GARCH,r_t_sq,522,2.503990587762732,2.6212835948367847,,-4.699577399081651,1.3456877331309482
"GARCH(1,1)-t",GARCH,r_t_sq,522,10.171744927116439,11.236990759548304,,-103.74050997444265,2.364069421786723
