model,family,target,n_test,MAE,RMSE,MAPE,R2,QLIKE
Mean forecast,Benchmark,r_t,522,0.6311899191398336,0.8279188318979853,124.50679649886223,-0.0024061187610910917,
Zero return forecast,Benchmark,r_t,522,0.6335414634909694,0.8299569466385991,100.0,-0.007347505019557721,
"ARIMA(4, 0, 2)",ARIMA,r_t,522,0.6328424179040608,0.8300708012508501,125.07490473345857,-0.007623902552693629,
"SARIMA(4, 0, 2)x(1, 0, 1, 5)",SARIMA,r_t,522,0.6365469578168095,0.8322227715441332,102.53195452163975,-0.01285523336318084,
SETAR(1) returns,SETAR,r_t,522,0.6493303172751645,0.842729177422509,180.45922072703084,-0.038590265405425095,
"NNAR(5,12) returns",NNAR,r_t,522,0.6470089402349514,0.843314902927712,165.74439834110478,-0.040034478395400974,
Naive last value,Benchmark,r_t,522,2.976982370185322,3.0896971227457803,4048.483085964189,-12.960468833991872,
