model,AIC,BIC,LogLik,omega,alpha[1],beta[1],gamma[1],nu,persistence,persistence_type
"GJR-GARCH(1,1)-t",3471.5156185712876,3502.1355509464443,-1729.7578092856438,0.03013046918449854,0.03223147114349034,0.8213199911397084,0.26531947407043155,6.024572530291702,0.9862111993184146,alpha + beta + gamma/2
"GARCH(1,1)-t",3501.1220313206472,3526.638641633278,-1745.5610156603236,0.030609274950854,0.20158563132345844,0.7984143686765417,,6.0170402861129615,1.0000000000000002,alpha + beta
"EGARCH(1,1)-t",3511.2978258368767,3536.8144361495074,-1750.6489129184383,0.021535928978259233,0.3816723095068641,0.9648641905123234,,5.919802111665909,0.9648641905123234,beta in log-variance equation
"GARCH(1,1)",3573.8574082152763,3594.2706964653808,-1782.9287041076382,0.04890315433680472,0.21694446763884437,0.7672296094672354,,,0.9841740771060797,alpha + beta
ARCH(1),3904.5399850914855,3919.849951279064,-1949.2699925457428,0.9150313031689876,0.5881092918816138,,,,0.5881092918816138,alpha + beta
