model,AIC,BIC
Holt price,9261.375020700798,9281.788308950903
ETS price,9261.375020700798,9281.788308950903
"ARIMA(4, 0, 2)",4149.1576127055505,4189.984189205759
"SARIMA(4, 0, 2)x(1, 0, 1, 5)",4117.943689590175,4163.8067285800535
State Space price,-6948.614804626224,-6933.309776711366
State Space RV_22d,1187.1150453379835,1197.3200440495327
