date,sp500_close,log_return,abs_return,squared_return
2023-01-04,3852.969970703125,0.007510694562138916,0.007510694562138916,5.6410532805743085e-05
2023-01-05,3808.10009765625,-0.011713869136457158,0.011713869136457158,0.00013721473014604357
2023-01-06,3895.080078125,0.02258383558903089,0.02258383558903089,0.0005100296299123782
2023-01-09,3892.090087890625,-0.0007679273259905782,0.0007679273259905782,5.897123780030398e-07
2023-01-10,3919.25,0.006953997970593733,0.006953997970593733,4.8358087775021755e-05
2023-01-11,3969.610107421875,0.012767571192293676,0.012767571192293676,0.00016301087415028737
2023-01-12,3983.169921875,0.0034100849120427303,0.0034100849120427303,1.1628679107341475e-05
2023-01-13,3999.090087890625,0.003988892144656051,0.003988892144656051,1.591126054169875e-05
2023-01-17,3990.969970703125,-0.002032555430996314,0.002032555430996314,4.131281580072611e-06
2023-01-18,3928.860107421875,-0.01568496697774467,0.01568496697774467,0.0002460181890929408
2023-01-19,3898.85009765625,-0.007667671901812428,0.007667671901812428,5.8793192393843815e-05
2023-01-20,3972.610107421875,0.01874167355235196,0.01874167355235196,0.0003512503275429289
2023-01-23,4019.81005859375,0.011811315951328555,0.011811315951328555,0.00013950718450210837
2023-01-24,4016.949951171875,-0.0007117563642918193,0.0007117563642918193,5.06597122109909e-07
2023-01-25,4016.219970703125,-0.00018174157346566321,0.00018174157346566321,3.302999952577506e-08
2023-01-26,4060.429931640625,0.010947708029114303,0.010947708029114303,0.00011985231109073378
2023-01-27,4070.56005859375,0.002491734021703855,0.002491734021703855,6.2087384349164674e-06
2023-01-30,4017.77001953125,-0.013053569315292663,0.013053569315292663,0.00017039567186915016
2023-01-31,4076.60009765625,0.014536304416419527,0.014536304416419527,0.00021130414608681785
2023-02-01,4119.2099609375,0.01039805629688473,0.01039805629688473,0.00010811957475318417
2023-02-02,4179.759765625,0.014592384626854379,0.014592384626854379,0.00021293768909805603
2023-02-03,4136.47998046875,-0.010408592637285455,0.010408592637285455,0.00010833880068895298
2023-02-06,4111.080078125,-0.006159393193939262,0.006159393193939262,3.7938124517545304e-05
2023-02-07,4164.0,0.012790364037397075,0.012790364037397075,0.0001635934122091404
