caused,causing,test_statistic,pvalue,decision_5pct
r_t,S_polarity,1.6466729036516097,0.19945340019778146,not significant
r_t,S_mean,1.4769096971270426,0.2242982400631868,not significant
r_t,vix,1.408531713924664,0.23533918764152098,not significant
r_t,neg_share,0.030260001337115615,0.8619064554119481,not significant
rv_22d,vix,130.3445191200443,6.201811639402805e-30,Granger-causal
rv_22d,neg_share,1.0071597680328341,0.3156177358885487,not significant
rv_22d,S_polarity,0.010509551319974358,0.9183498680432655,not significant
rv_22d,S_mean,0.003769663219083996,0.9510442699420051,not significant
