,rv_22d,r_t,vix,S_polarity,neg_share,S_mean,S_sum,n_articles,pos_share
rv_22d,1.0,0.0025309552021916958,0.8230272792487215,-0.1130282562253793,0.10247634926681484,-0.1230190658697157,-0.18533579034711362,0.12526266203644518,-0.08583874760704333
r_t,0.0025309552021916958,1.0,-0.17543261785434736,0.10142427405513804,-0.07911805908418888,0.10581471539907189,0.13585037100087702,-0.05726261824312468,0.09488318809321902
vix,0.8230272792487215,-0.17543261785434736,1.0,-0.12353756415100661,0.10440988206327635,-0.13647008836671584,-0.24132365224485966,0.21546957183610815,-0.10438411215861702
S_polarity,-0.1130282562253793,0.10142427405513804,-0.12353756415100661,1.0,-0.8926176468369573,0.9840257309505235,0.818275676991858,-0.004657095723543115,0.7789550812314384
neg_share,0.10247634926681484,-0.07911805908418888,0.10440988206327635,-0.8926176468369573,1.0,-0.8905352953454206,-0.7314709849803848,-0.027477235835730227,-0.41261240284682443
S_mean,-0.1230190658697157,0.10581471539907189,-0.13647008836671584,0.9840257309505235,-0.8905352953454206,1.0,0.8311425291862299,-0.0021458870838300826,0.7495743327133552
S_sum,-0.18533579034711362,0.13585037100087702,-0.24132365224485966,0.818275676991858,-0.7314709849803848,0.8311425291862299,1.0,-0.4768030890925378,0.6359204312540424
n_articles,0.12526266203644518,-0.05726261824312468,0.21546957183610815,-0.004657095723543115,-0.027477235835730227,-0.0021458870838300826,-0.4768030890925378,1.0,-0.04763066834786658
pos_share,-0.08583874760704333,0.09488318809321902,-0.10438411215861702,0.7789550812314384,-0.41261240284682443,0.7495743327133552,0.6359204312540424,-0.04763066834786658,1.0
