feature,importance_mean,importance_std,is_sentiment_feature,is_vix_feature
rv_lag1,0.5472876946737089,0.017783022960664117,False,False
rv_22d_lag1,0.5472876946682559,0.017783022960537204,False,False
abs_r_t_lag22,0.09816960303448588,0.0029291047856410063,False,False
rv_5d_lag1,0.017014192445384758,0.0018475346306531957,False,False
rv_22d_lag2,0.006998826835124849,0.001113974754879477,False,False
r_t_sq_lag22,0.006716903215232273,0.0005768601440965796,False,False
rv_22d_lag5,0.0060941664839688995,0.0011992423730374819,False,False
rv_5d_lag2,0.003137109253396897,0.0020157108440715817,False,False
rv_week,0.002780067851074619,0.0018583773478278145,False,False
abs_r_t_lag3,0.0024439348033169607,0.0014383164478866527,False,False
r_t_lag1,0.002270246288688918,0.0009277543618350385,False,False
r_t_sq_lag3,0.0021085701659004892,0.0005096818062609999,False,False
rv_22d_lag10,0.002101739942816194,0.0005490509824467741,False,False
abs_r_t_lag5,0.0013987395528602315,0.0007654978223338536,False,False
rv_22d_lag22,0.0012478896614071173,0.0002292243351750187,False,False
r_t_lag3,0.0009392160455347548,0.00045851285028437,False,False
rv_5d_lag10,0.0007640268089645075,0.00027079068092390605,False,False
r_t_lag2,0.000629249803717305,0.001331982502344377,False,False
rv_5d_lag5,0.0005598862867727622,0.00022806488620940067,False,False
r_t_sq_lag5,0.00013679079924740212,0.00015757471026029224,False,False
rv_5d_lag3,0.00012309012551576514,5.5413748309743685e-05,False,False
r_t_sq_lag10,5.461726589876259e-05,3.367954669450665e-05,False,False
rv_22d_lag3,4.313325712664296e-05,0.001097582249338129,False,False
abs_r_t_lag1,1.8139727024957252e-05,0.0007464302668577188,False,False
abs_r_t_lag10,-4.950226187775131e-05,0.0005878919008466851,False,False
r_t_lag10,-6.652937470392472e-05,0.0002016868469835088,False,False
r_t_sq_lag1,-0.0003820286457093397,0.00022707077034755013,False,False
r_t_lag22,-0.000433430822075212,0.00010893242622850038,False,False
r_t_lag5,-0.0004708359802011536,0.00024177757332592933,False,False
rv_month,-0.00047997513978428885,0.0006949005011087322,False,False
rv_5d_lag22,-0.000518091725263306,0.0001954148643361856,False,False
abs_r_t_lag2,-0.0007387138742933064,0.0010746509802118745,False,False
r_t_sq_lag2,-0.0007730925626439677,0.00023670418067844724,False,False
