model,family,uses_sentiment,target,n_test,MAE,RMSE,MAPE,R2,QLIKE_RV2
VAR multivariate,VAR,True,rv_22d,522,0.14071652890013056,0.22156271171302955,3.838520416456545,0.9568748900768368,3.6246507091076414
HAR-RV-X,HAR-RV-X,True,rv_22d,515,0.14051887702719798,0.2239401442208196,3.859810031233024,0.9471773369353137,3.6048549292572813
HAR-RV,HAR-RV,False,rv_22d,515,0.1394816577055973,0.2241518985292197,3.8169217460743496,0.9470773931319686,3.604808906367013
MLP no sentiment,MLP,False,rv_22d,515,0.21326357090000866,0.30758456161005776,5.530538173057775,0.9003481301425251,3.609527994689949
LSTM with sentiment,LSTM,True,rv_22d,519,0.4272634840847559,0.5544578016224585,11.477637688333273,0.7083876593607252,3.651510688097247
LSTM no sentiment,LSTM,False,rv_22d,519,0.4152993609427721,0.5597997302294065,10.923890015275257,0.7027415074423589,3.651620425850826
MLP with sentiment,MLP,True,rv_22d,515,0.4417606007266676,0.5720834159808414,12.348677933823483,0.655273157208106,3.638914159611584
RNN no sentiment,RNN,False,rv_22d,519,0.4985591653131947,0.6173616476211122,13.873821724799043,0.6384667926901367,3.6542750011364578
RNN with sentiment,RNN,True,rv_22d,519,0.5766628389709669,0.7200938511300372,15.751317070019935,0.5081336565920304,3.6687948013841063
