model,family,uses_sentiment,target,n_test,MAE,RMSE,MAPE,R2,QLIKE_RV2,scenario,uses_vix,n_features
MLP_FIN_noVIX_noSent,MLP ablation,False,rv_22d,515,0.16234668788911108,0.2197339931892468,4.348628298267847,0.9491429831842122,3.6055777472438986,FIN_noVIX_noSent,False,33
MLP_FIN_noVIX_withSent,MLP ablation,True,rv_22d,515,0.21777292853477037,0.289614891299532,5.933417663040763,0.9116517071072218,3.6109914835611403,FIN_noVIX_withSent,False,46
MLP_FIN_withVIX_noSent,MLP ablation,False,rv_22d,515,0.20434205362927813,0.3026542255834598,5.321344741981793,0.9035172065708476,3.6090188237721685,FIN_withVIX_noSent,True,45
MLP_FIN_withVIX_withSent,MLP ablation,True,rv_22d,515,0.25990830381350005,0.3557045199836972,7.025219078401292,0.866729154482281,3.617965786458146,FIN_withVIX_withSent,True,58
Ridge_FIN_noVIX_noSent,Ridge ablation,False,rv_22d,515,0.09977888446446781,0.15981403817299664,2.6890301508645487,0.9730978966939283,3.602469398187363,FIN_noVIX_noSent,False,33
Ridge_FIN_noVIX_withSent,Ridge ablation,True,rv_22d,515,0.10161178721298587,0.16206961449090773,2.7421579454942315,0.9723331584095318,3.602621006932432,FIN_noVIX_withSent,False,46
Ridge_FIN_withVIX_noSent,Ridge ablation,False,rv_22d,515,0.1048423274563166,0.16727325594241152,2.819007451442507,0.9705280137276409,3.6025456079851748,FIN_withVIX_noSent,True,45
Ridge_FIN_withVIX_withSent,Ridge ablation,True,rv_22d,515,0.10898974900959094,0.1703959003082668,2.933590614655654,0.9694173814172857,3.6026998300644317,FIN_withVIX_withSent,True,58
